,Symbol,Expiry,Strike,OptionType,DaysRemaining,CostPrice,MarketPrice,UndPrice,Mult,Position,Exposure,RetExposure,RetMargin,AnnRetExposure,AnnRetMargin,BullBear,Type,Distance,GainLoss,RemainingGL,RemainingGL%
0,AKUS,2022-11-18,12.5,P,6,0.04,0.0,10.0,100,-20,25000.0,0.01,0.03,0.88,1.75,na,MA,0.8,85.57110999999999,3.5999999999999996,4.037181997622325
1,ALTU,2023-01-20,7.5,P,69,0.45,0.01,10.0,100,-100,75000.0,0.16,0.33,0.86,1.72,na,SPAC,1.33,4379.56395,122.0,2.7101692068597627
2,ALTU,2023-06-16,10.0,C,216,0.63,0.66,10.0,100,-10,10000.0,6.65,13.29,11.23,22.46,na,SPAC,1.0,-36.927841000000015,664.5999999999999,105.88330077581153
3,AMC,2023-01-20,2.0,P,69,0.11,0.08,10.0,100,-50,10000.0,3.75,7.5,19.84,39.67,na,Disc,5.0,192.06976,375.0,66.12943000169857
4,AMC,2023-03-17,1.0,P,125,0.04,0.04,10.0,100,-5,500.0,4.0,8.0,11.68,23.36,na,Disc,10.0,-0.15222299999999994,20.0,100.76695238968072
5,AMC1,2023-01-20,1.5,P,69,0.06,0.02,7.2,100,-300,45000.0,1.56,3.12,8.25,16.5,na,Disc,4.8,1100.13291,702.0,38.95384164534235
6,AMC1,2023-01-20,2.0,P,69,0.09,0.06,7.2,100,-300,60000.0,3.2,6.41,16.95,33.91,na,Disc,3.6,826.0523099999998,1923.0,69.95137898994727
7,AUS,2023-01-20,10.0,P,69,0.04,0.15,10.0,100,-41,41000.0,1.49,2.97,7.87,15.73,na,SPAC,1.0,-435.7792256,609.67,350.60514400699583
8,AUS,2023-04-21,10.0,C,160,0.49,0.34,10.0,100,-61,61000.0,3.37,6.74,7.69,15.38,na,SPAC,1.0,935.6304012999998,2056.92,68.73468193238949
9,AUS,2023-04-21,10.0,P,160,0.82,0.2,10.0,100,-50,50000.0,1.96,3.91,4.46,8.92,na,SPAC,1.0,3125.239035,977.5,23.825546583905496
10,AVAN,2023-01-15,7.5,P,64,0.45,0.0,10.0,100,-54,40500.0,0.0,0.0,0.01,0.02,na,SPAC,1.33,2417.4758394,0.54,0.0223323599126627
11,AVAN,2023-01-15,10.0,P,64,1.56,0.0,10.0,100,-50,50000.0,0.0,0.0,0.01,0.01,na,SPAC,1.0,7785.193719999999,0.5,0.006422035312223919
12,AVEO,2023-01-20,14.0,P,69,0.15,0.24,10.0,100,-20,28000.0,1.73,3.46,9.16,18.33,na,MA,0.71,-179.03392800000003,485.0,158.51430742948523
13,BBBY,2023-01-20,1.0,P,69,0.04,0.06,10.0,100,-100,10000.0,5.5,11.0,29.09,58.19,na,Disc,10.0,-166.46256999999997,550.0,143.40190995178747
14,BCE,2023-01-20,40.0,P,69,0.45,0.28,10.0,100,-5,20000.0,0.69,1.38,3.64,7.28,na,Disc,0.25,87.588198,137.64999999999998,61.11307994037494
15,BNS,2023-01-20,35.0,P,69,0.35,0.12,10.0,100,-10,35000.0,0.36,0.71,1.89,3.78,na,Disc,0.29,225.978685,125.0,35.614698368363875
16,BTWN,2023-04-21,10.0,C,160,0.49,0.22,10.0,100,-67,67000.0,2.21,4.43,5.05,10.1,na,SPAC,1.0,1823.3248612999998,1482.71,44.84858938895062
17,BTWN,2023-04-21,10.0,P,160,0.55,0.22,10.0,100,-20,20000.0,2.24,4.49,5.12,10.24,na,SPAC,1.0,652.1482100000002,448.79999999999995,40.76486031981468
18,CCV,2023-01-20,10.0,C,69,0.25,0.25,10.0,100,-100,100000.0,2.52,5.03,13.31,26.62,na,SPAC,1.0,-47.190480000000036,2516.0,101.91146702966375
19,CCV,2023-02-17,10.0,C,97,0.3,0.31,10.0,100,-70,70000.0,3.08,6.16,11.59,23.17,na,SPAC,1.0,-78.451534,2155.2999999999997,103.77743178110134
20,CME,2024-01-19,100.0,P,433,2.99,2.84,10.0,100,-5,50000.0,2.84,5.67,2.39,4.78,na,Disc,0.1,75.26411500000019,1418.1999999999998,94.96043364925443
21,CONX,2023-06-16,7.5,P,216,0.5,0.15,10.0,100,-10,7500.0,2.0,4.01,3.38,6.77,na,SPAC,1.33,351.37525000000005,150.2,29.945656210110045
